CATEGORIA,CCAA,PROVINCIA,VALORACION_POR_CATEGORIA,TOTAL_OPINIONES_CATEGORIA,VALORACION_GENERAL,TIPO_CATEGORIA,TIPO_CCAA
Otros,Castilla y León,Segovia,"4,29",122,"4,08",Turismo Neutro,Emergente
Otros,Castilla y León,Soria,"3,86",31,"3,95",Turismo Neutro,Emergente
Otros,Castilla y León,Valladolid,"4,42",30,"4,07",Turismo Neutro,Emergente
Otros,Castilla y León,Zamora,"3,31",17,"4,23",Turismo Neutro,Emergente
Otros,Castilla y León,Ávila,"3,64",85,"4,28",Turismo Neutro,Emergente
Otros,Cataluña,Barcelona,"4,12",1517,"4,11",Turismo Neutro,Tradicional
Otros,Cataluña,Girona,"4,11",341,"4,27",Turismo Neutro,Tradicional
Otros,Cataluña,Lleida,"4,09",37,"4,29",Turismo Neutro,Tradicional
Otros,Cataluña,Tarragona,"3,95",678,"4,23",Turismo Neutro,Tradicional
Otros,Comunidad Foral de Navarra,Navarra,"4,27",231,"4,26",Turismo Neutro,Otra
Otros,Comunidad de Madrid,Madrid,"3,67",648,"4,18",Turismo Neutro,Otra
Otros,Comunitat Valenciana,Alicante/Alacant,"4,18",235,"4,3",Turismo Neutro,Otra
Otros,Comunitat Valenciana,Castellón/Castelló,"3,92",109,"4,26",Turismo Neutro,Otra
Otros,Comunitat Valenciana,Valencia/València,"3,99",541,"4,19",Turismo Neutro,Otra
Otros,Extremadura,Badajoz,"3,73",106,"4,3",Turismo Neutro,Emergente
Otros,Extremadura,Cáceres,"4,36",226,"4,39",Turismo Neutro,Emergente
Otros,Galicia,A Coruña,"4,08",78,"4,26",Turismo Neutro,Emergente
Otros,Galicia,Lugo,"3,88",80,"4,3",Turismo Neutro,Emergente
Otros,Galicia,Ourense,"4,73",13,"4,19",Turismo Neutro,Emergente
Otros,Galicia,Pontevedra,"4,41",58,"4,2",Turismo Neutro,Emergente
Otros,Illes Balears,Illes Balears,"3,76",214,"4,36",Turismo Neutro,Tradicional
